Time (s),Pixel count
1742900795.2486517,10835
1742900795.3061092,6669
1742900795.5186634,7261
1742900795.720978,6515
1742900795.8475416,7362
1742900795.9646113,6751
1742900796.0569518,7373
1742900796.3980057,7108
1742900796.5380733,6897
1742900796.6252608,7106
1742900796.7278633,6540
1742900796.8439155,7525
1742900796.9741147,6679
1742900797.0781708,7842
1742900797.2032945,6930
1742900797.30829,7298
1742900797.4128761,7097
1742900797.5199862,6901
1742900797.6381588,7585
1742900797.7456124,6783
1742900797.968483,7818
1742900798.073312,6681
1742900798.1785216,7716
1742900798.3117442,6908
1742900798.433063,7295
1742900798.530586,7523
1742900798.62851,6797
1742900798.754231,7612
1742900798.8695326,6952
1742900798.9813294,7532
1742900799.115292,6675
1742900799.2022326,7370
1742900799.3256934,7119
1742900799.4330466,6827
1742900799.533292,7226
1742900799.6535156,6386
1742900799.7664092,7537
1742900799.8821507,6415
1742900800.0055213,7235
1742900800.1044636,6472
1742900800.2281308,6577
1742900800.3282404,6816
1742900800.4532714,6298
1742900800.5729055,6919
1742900800.6753595,6103
1742900800.7842014,6771
1742900801.0236278,5986
1742900801.1198113,6508
1742900801.2355704,6026
1742900801.3618245,6125
1742900801.4678233,6247
1742900801.6232984,5778
1742900801.8142734,6389
1742900802.049132,5523
1742900802.1560373,6216
1742900802.2813342,5540
1742900802.3894384,5933
1742900802.4920592,5960
1742900802.601487,5522
1742900802.7213416,6065
1742900802.8571906,6455
1742900803.0356495,7272
1742900803.1629043,6572
1742900803.2909381,6629
1742900803.4182599,5769
1742900803.5313537,5058
1742900803.6277456,4656
1742900803.778853,3658
1742900803.8760962,3750
1742900804.0068254,2992
1742900804.2069473,2926
1742900804.4771347,2690
1742900804.5720463,2208
1742900804.6993804,2382
1742900804.8092618,1645
1742900804.9100027,2097
1742900805.1715052,1456
1742900805.2926393,1633
1742900805.4114203,1393
1742900805.5091484,1262
1742900805.6394773,1369
1742900805.7343762,1108
1742900805.8621626,1391
1742900806.000702,1026
1742900806.2053359,1104
1742900806.3197622,1090
1742900806.4286044,1132
1742900806.5613835,1300
1742900806.6765459,1024
1742900806.758704,1279
1742900806.984819,1037
1742900807.1070187,1239
1742900807.2300754,1120
1742900807.450619,1121
1742900807.6576104,1299
1742900807.7725334,1045
1742900807.8993459,1344
1742900808.003744,1069
1742900808.1168377,1344
1742900808.2321365,1172
1742900808.3606434,1216
1742900808.4555783,1322
1742900808.567438,1171
1742900808.7232432,1584
1742900808.9169075,1159
1742900809.0251517,1615
1742900809.1556604,1196
1742900809.2722745,1416
1742900809.3597925,1323
1742900809.4688087,1388
1742900809.5921004,1699
1742900809.6847239,1396
1742900809.8143508,1768
1742900809.908933,1328
1742900810.0363157,1678
1742900810.1550806,1427
1742900810.2464528,1651
1742900810.3684793,1504
1742900810.4918222,1466
1742900810.5922403,1672
1742900810.6927376,1354
1742900810.8116753,1741
1742900810.9284613,1356
1742900811.0425744,1716
1742900811.14326,1447
1742900811.2581563,1521
1742900811.376687,1558
1742900811.485859,1390
1742900811.5952902,1680
1742900811.7215378,1290
1742900811.8397248,1686
1742900811.959191,1298
1742900812.0607705,1538
1742900812.1606133,1435
1742900812.2966552,1527
1742900812.3946514,1525
1742900812.527857,1307
1742900812.61197,1623
1742900812.7358973,1223
1742900812.8409336,1349
1742900812.9730773,1725
1742900813.0774934,1810
1742900813.1842253,1593
1742900813.2869835,1515
1742900813.406947,1457
1742900813.5372415,1104
1742900813.624114,1255
1742900813.7727768,971
1742900813.8574939,1013
1742900813.9888937,870
1742900814.0743983,897
1742900814.2016194,952
1742900814.3155687,821
1742900814.4326036,753
1742900814.5456717,683
1742900814.660513,678
1742900814.7772586,645
1742900814.8872397,648
1742900814.991599,684
1742900815.25217,188
1742900815.504391,174
1742900815.5872958,159
1742900815.7552502,165
1742900815.8391745,163
1742900815.9501538,170
1742900816.068143,513
1742900816.194029,168
1742900816.2989225,173
1742900816.4169784,576
1742900816.5255296,185
1742900816.6992054,156
1742900816.856024,635
1742900816.971796,528
1742900817.095176,636
1742900817.2078283,654
1742900817.3212821,583
1742900817.4266195,679
1742900817.527525,525
1742900817.6655498,658
1742900817.8639948,567
1742900817.9853709,626
1742900818.101878,660
1742900818.1921604,577
1742900818.4064724,708
1742900818.582963,517
1742900818.756633,716
1742900818.878291,609
1742900818.9912138,693
1742900819.0988858,671
1742900819.2125158,593
1742900819.3272154,723
1742900819.4531329,572
1742900819.5511215,743
1742900819.6648705,605
1742900819.789947,710
1742900819.9037774,703
1742900820.0131752,206
1742900820.1375916,775
1742900820.2364938,198
1742900820.3533852,199
1742900820.4772031,193
1742900820.561966,206
1742900820.7827055,195
1742900820.9066327,196
1742900821.0190728,203
1742900821.1363258,189
1742900821.254463,749
1742900821.3657494,558
1742900821.463083,723
1742900821.5837054,189
1742900821.6803038,191
1742900821.9010737,676
1742900822.0086575,189
1742900822.1359801,733
1742900822.2210417,190
1742900822.3423426,755
1742900822.4585779,574
1742900822.6880145,194
1742900822.8993452,841
1742900823.0582786,756
1742900823.148952,1002
1742900823.257969,805
1742900823.352924,818
1742900823.4806647,660
1742900823.7022507,672
1742900823.9405246,611
1742900824.03398,436
1742900824.161295,547
1742900824.2754753,399
1742900824.381227,455
1742900824.4798052,416
1742900824.5989509,390
1742900824.7126608,438
1742900824.8228774,395
1742900824.9481637,459
1742900825.069534,394
1742900825.2909815,442
1742900825.3955092,393
1742900825.4994276,394
1742900825.6240668,415
1742900825.7423122,374
1742900825.8430696,435
1742900825.964312,350
1742900826.0719616,437
1742900826.175659,367
1742900826.298574,387
1742900826.4089267,389
1742900826.507856,375
1742900826.633327,417
1742900826.7482023,339
1742900826.8577874,410
1742900826.96645,383
1742900827.080746,396
1742900827.198353,392
1742900827.307538,416
1742900827.4327946,423
1742900827.5302262,392
1742900827.6508143,414
1742900827.7706811,390
1742900827.8936312,473
1742900827.986833,411
1742900828.123464,490
1742900828.2213333,450
1742900828.324834,454
1742900828.4362864,433
1742900828.5479019,432
1742900828.6629264,448
1742900828.7964895,456
1742900828.8926966,482
1742900829.0238495,445
1742900829.1230636,459
1742900829.242674,423
1742900829.4039853,430
1742900829.4836316,434
1742900829.823066,448
1742900829.9430225,459
1742900830.0408561,435
1742900830.159814,460
1742900830.2798529,408
1742900830.3805604,436
1742900830.4811058,424
1742900830.600405,431
1742900830.7172668,438
1742900830.827648,407
1742900830.9485798,401
1742900831.0560923,362
1742900831.2286122,370
1742900831.32981,342
1742900831.4336991,393
1742900831.5490942,351
1742900831.6699193,399
1742900831.7668254,407
1742900831.9134111,334
1742900832.011995,439
1742900832.1283638,363
1742900832.248087,109
1742900832.4679532,460
1742900832.5751245,420
1742900832.7105687,400
1742900832.8034945,400
1742900832.921002,501
1742900833.0430171,593
1742900833.1554785,438
1742900833.2624066,504
1742900833.3705943,412
1742900833.4856179,390
1742900833.60455,381
1742900833.701551,341
1742900833.8275373,378
1742900833.9307463,320
1742900834.0491836,372
1742900834.1733458,343
1742900834.3850205,308
1742900834.4968908,289
1742900834.7336712,243
1742900834.9444547,271
1742900835.0675392,256
1742900835.1917458,235
1742900835.292156,234
1742900835.5168524,223
1742900835.7512593,244
1742900835.8533726,247
1742900836.106489,288
1742900836.253558,260
1742900836.4580383,304
1742900836.5587301,230
1742900836.6691797,298
1742900836.7931628,251
1742900836.8997698,301
1742900837.0239742,279
1742900837.162023,270
1742900837.2525918,300
1742900837.3691633,254
1742900837.5021029,289
1742900837.591486,257
1742900837.7157362,261
1742900837.842839,257
1742900837.9365115,246
1742900838.0597906,297
