episode,env_step,train_step,ver_reward(avg100env),fwd_reward(avg100env),lat_reward(avg100env),ver_reward(episode),fwd_reward(episode),lat_reward(episode)
1,100,0,-0.3447,-0.0841,-0.1363,-0.3447,-0.0841,-0.1363
1,200,18,-0.2458,-0.7240,-0.1941,-0.2950,-0.4056,-0.1653
1,300,122,-0.1343,-0.1832,-0.5355,-0.2413,-0.3313,-0.2891
1,400,232,-0.6002,-0.1486,-0.3628,-0.3312,-0.2855,-0.3076
1,500,371,-0.4113,-0.2452,-0.4603,-0.3473,-0.2774,-0.3382
1,600,469,-0.6080,-0.1789,-0.3881,-0.3908,-0.2610,-0.3465
1,700,532,-0.2688,-0.3607,-0.5251,-0.3733,-0.2752,-0.3721
1,800,633,-0.3743,-0.7975,-0.5903,-0.3735,-0.3406,-0.3994
1,900,660,-0.7183,-1.2199,-0.3507,-0.4118,-0.4384,-0.3940
1,1000,690,-1.2202,-1.6837,-0.3803,-0.4927,-0.5631,-0.3926
1,1100,722,-1.2033,-2.0516,-0.4393,-0.5574,-0.6985,-0.3969
1,1200,750,-1.1211,-1.8735,-0.4075,-0.6044,-0.7965,-0.3978
1,1300,781,-1.2285,-2.3151,-0.2900,-0.6525,-0.9134,-0.3895
1,1400,811,-0.6058,-2.2726,-0.3221,-0.6491,-1.0106,-0.3846
1,1500,839,-0.2844,-2.1715,-0.2093,-0.6248,-1.0880,-0.3729
1,1600,865,-0.3443,-1.9256,-0.1422,-0.6072,-1.1404,-0.3585
1,1700,890,-0.9071,-1.8713,-0.1354,-0.6249,-1.1834,-0.3454
1,1800,915,-0.4358,-1.7815,-0.2009,-0.6144,-1.2167,-0.3374
1,1900,940,-0.6446,-1.5683,-0.1848,-0.6160,-1.2352,-0.3293
1,2000,965,-0.3152,-1.5628,-0.1048,-0.6009,-1.2516,-0.3181
1,2100,990,-0.1631,-1.4749,-0.0774,-0.5801,-1.2622,-0.3066
1,2200,1015,-0.0888,-1.5498,-0.0448,-0.5577,-1.2753,-0.2947
1,2300,1040,-0.0905,-1.0536,-0.0980,-0.5374,-1.2656,-0.2862
1,2400,1065,-0.0723,-0.3386,-0.0741,-0.5180,-1.2270,-0.2773
1,2500,1090,-0.0482,-0.6112,-0.1405,-0.4992,-1.2024,-0.2718
1,2600,1115,-0.1227,-0.5731,-0.2902,-0.4847,-1.1781,-0.2725
1,2700,1140,-0.1719,-0.2176,-0.0966,-0.4731,-1.1426,-0.2660
1,2800,1165,-0.1187,-0.3162,-0.0968,-0.4605,-1.1130,-0.2600
1,2900,1190,-0.0752,-0.1642,-0.1306,-0.4472,-1.0803,-0.2555
1,3000,1215,-0.3329,-0.1376,-0.0691,-0.4434,-1.0489,-0.2493
1,3100,1240,-0.1927,-0.2325,-0.0793,-0.4353,-1.0225,-0.2438
1,3200,1265,-0.1247,-0.2952,-0.1924,-0.4256,-0.9998,-0.2422
1,3300,1290,-0.4308,-0.1988,-0.2051,-0.4257,-0.9755,-0.2411
1,3400,1315,-0.1039,-0.7174,-0.1581,-0.4163,-0.9679,-0.2386
1,3500,1340,-0.2206,-0.1770,-0.1080,-0.4107,-0.9453,-0.2349
1,3600,1365,-0.5101,-0.0633,-0.1133,-0.4134,-0.9208,-0.2315
1,3700,1390,-0.8415,-0.0385,-0.0158,-0.4250,-0.8969,-0.2257
1,3800,1415,-0.8991,-0.0804,-0.0367,-0.4375,-0.8755,-0.2207
1,3900,1440,-0.7751,-0.1423,-0.0678,-0.4461,-0.8567,-0.2168
1,4000,1465,-0.3956,-0.4258,-0.0293,-0.4449,-0.8459,-0.2121
1,4100,1490,-0.8383,-0.0612,-0.1228,-0.4545,-0.8267,-0.2099
1,4200,1515,-0.9515,-0.0983,-0.0998,-0.4663,-0.8094,-0.2073
1,4300,1540,-0.9943,-0.0793,-0.1505,-0.4786,-0.7924,-0.2060
1,4400,1565,-1.0612,-0.0312,-0.0940,-0.4918,-0.7751,-0.2034
1,4500,1590,-1.0203,-0.0397,-0.0851,-0.5036,-0.7588,-0.2008
1,4600,1615,-1.0092,-0.1317,-0.0703,-0.5146,-0.7451,-0.1980
1,4700,1646,-0.7237,-0.0964,-0.1396,-0.5190,-0.7313,-0.1967
1,4800,1671,-0.6541,-0.0399,-0.0517,-0.5218,-0.7169,-0.1937
1,4900,1740,-0.8338,-0.0355,-0.0495,-0.5282,-0.7030,-0.1908
1,5000,1765,-0.8992,-0.0349,-0.1654,-0.5356,-0.6896,-0.1903
1,5100,1833,-0.7151,-0.0873,-0.0818,-0.5392,-0.6778,-0.1881
1,5200,1858,-0.3981,-0.0428,-0.1384,-0.5364,-0.6656,-0.1872
1,5300,1923,-1.0890,-0.1055,-0.2249,-0.5469,-0.6550,-0.1879
1,5400,1948,-0.5043,-0.0513,-0.1669,-0.5461,-0.6439,-0.1875
1,5500,1973,-1.1080,-0.0987,-0.1840,-0.5563,-0.6339,-0.1874
1,5600,2005,-0.4967,-0.1807,-0.8553,-0.5552,-0.6258,-0.1994
1,5700,2041,-0.1907,-0.4327,-0.9578,-0.5488,-0.6225,-0.2127
1,5800,2075,-0.1752,-0.2736,-0.3863,-0.5424,-0.6164,-0.2157
1,5900,2101,-0.0310,-0.1399,-0.1153,-0.5337,-0.6084,-0.2140
1,6000,2126,-0.0825,-0.0459,-0.0585,-0.5262,-0.5990,-0.2114
1,6100,2151,-0.0590,-0.1279,-0.1247,-0.5185,-0.5913,-0.2100
1,6200,2175,-0.0313,-0.0341,-0.0722,-0.5107,-0.5823,-0.2077
1,6300,2201,-0.0308,-0.0821,-0.0936,-0.5031,-0.5743,-0.2059
1,6400,2226,-0.0195,-0.1001,-0.0601,-0.4955,-0.5669,-0.2036
1,6500,2256,-0.1009,-0.2432,-0.3098,-0.4894,-0.5619,-0.2053
1,6600,2287,-0.1931,-0.5987,-0.7509,-0.4849,-0.5625,-0.2135
1,6700,2319,-0.1107,-0.6413,-0.9342,-0.4794,-0.5637,-0.2243
1,6800,2351,-0.2084,-0.5015,-0.9402,-0.4754,-0.5628,-0.2348
1,6900,2379,-0.1641,-0.6220,-0.8550,-0.4709,-0.5636,-0.2438
1,7000,2409,-0.0967,-0.3180,-0.8151,-0.4655,-0.5601,-0.2520
1,7100,2434,-0.1203,-0.1204,-0.2552,-0.4607,-0.5539,-0.2520
1,7200,2459,-0.0535,-0.0528,-0.0861,-0.4550,-0.5470,-0.2497
1,7300,2484,-0.1482,-0.1080,-0.1563,-0.4508,-0.5409,-0.2484
1,7400,2509,-0.1483,-0.0656,-0.1543,-0.4467,-0.5345,-0.2472
1,7500,2533,-0.6617,-0.0769,-0.1412,-0.4496,-0.5284,-0.2458
1,7600,2559,-0.4626,-0.0469,-0.1200,-0.4497,-0.5221,-0.2441
1,7700,2584,-0.1115,-0.0982,-0.1336,-0.4453,-0.5166,-0.2427
1,7800,2609,-0.0740,-0.1138,-0.1132,-0.4406,-0.5114,-0.2410
1,7900,2634,-0.0880,-0.0984,-0.0391,-0.4361,-0.5062,-0.2385
1,8000,2659,-0.0475,-0.0697,-0.1268,-0.4313,-0.5007,-0.2371
1,8100,2684,-0.1000,-0.0532,-0.1375,-0.4272,-0.4952,-0.2358
1,8200,2709,-0.0356,-0.0748,-0.0820,-0.4224,-0.4901,-0.2340
1,8300,2734,-0.2269,-0.0526,-0.0954,-0.4200,-0.4848,-0.2323
1,8400,2759,-0.1310,-0.0880,-0.0897,-0.4166,-0.4801,-0.2306
1,8500,2784,-0.1218,-0.2457,-0.0526,-0.4131,-0.4773,-0.2285
1,8600,2809,-0.0775,-0.0614,-0.1280,-0.4092,-0.4725,-0.2273
1,8700,2834,-0.1260,-0.1482,-0.1134,-0.4060,-0.4687,-0.2260
1,8800,2859,-0.0887,-0.0711,-0.1065,-0.4024,-0.4642,-0.2247
1,8900,2884,-0.0466,-0.1116,-0.1270,-0.3984,-0.4603,-0.2236
1,9000,2909,-0.1096,-0.1098,-0.0927,-0.3952,-0.4564,-0.2221
1,9100,2934,-0.0828,-0.1202,-0.0904,-0.3917,-0.4527,-0.2207
1,9200,2960,-0.2106,-0.3469,-0.1185,-0.3898,-0.4515,-0.2195
1,9300,2985,-0.0688,-0.5129,-0.0881,-0.3863,-0.4522,-0.2181
1,9400,3010,-0.2122,-0.0728,-0.1635,-0.3845,-0.4482,-0.2176
1,9500,3035,-0.1058,-0.3068,-0.1209,-0.3815,-0.4467,-0.2165
1,9600,3060,-0.1972,-0.0943,-0.1473,-0.3796,-0.4430,-0.2158
1,9700,3085,-0.2224,-0.1334,-0.1297,-0.3780,-0.4398,-0.2149
1,9800,3110,-0.1487,-0.0402,-0.1121,-0.3756,-0.4357,-0.2139
1,9900,3135,-0.0641,-0.1374,-0.0555,-0.3725,-0.4327,-0.2123
1,10000,3160,-0.1035,-0.0640,-0.0422,-0.3698,-0.4290,-0.2106
1,10100,3185,-0.0780,-0.0610,-0.0688,-0.3669,-0.4254,-0.2092
1,10200,3210,-0.0826,-0.3613,-0.0694,-0.3641,-0.4247,-0.2078
1,10300,3235,-0.0723,-0.2749,-0.0260,-0.3613,-0.4233,-0.2060
1,10400,3260,-0.0934,-0.1521,-0.0267,-0.3587,-0.4207,-0.2043
1,10500,3285,-0.0946,-0.0952,-0.0525,-0.3562,-0.4176,-0.2029
1,10600,3310,-0.0683,-0.0936,-0.0729,-0.3535,-0.4145,-0.2016
1,10700,3335,-0.0655,-0.0527,-0.0821,-0.3508,-0.4111,-0.2005
1,10800,3360,-0.0714,-0.2600,-0.1306,-0.3482,-0.4097,-0.1999
1,10900,3385,-0.1148,-0.2059,-0.0999,-0.3461,-0.4079,-0.1990
1,11000,3410,-0.1173,-0.0732,-0.0958,-0.3440,-0.4048,-0.1980
1,11100,3435,-0.0923,-0.0999,-0.0848,-0.3417,-0.4021,-0.1970
1,11200,3460,-0.1193,-0.0756,-0.1143,-0.3397,-0.3992,-0.1963
1,11300,3485,-0.0213,-0.6543,-0.0828,-0.3369,-0.4014,-0.1953
1,11400,3510,-0.1967,-0.0999,-0.0860,-0.3357,-0.3988,-0.1943
1,11500,3535,-0.0919,-0.1049,-0.0605,-0.3336,-0.3962,-0.1931
1,11600,3560,-0.1003,-0.0608,-0.1103,-0.3316,-0.3933,-0.1924
1,11700,3585,-0.0871,-0.0806,-0.0688,-0.3295,-0.3907,-0.1914
1,11800,3611,-0.2242,-0.0411,-0.1038,-0.3286,-0.3877,-0.1906
1,11900,3636,-0.0819,-0.1110,-0.1039,-0.3265,-0.3854,-0.1899
1,12000,3661,-0.1467,-0.1511,-0.1181,-0.3250,-0.3834,-0.1893
1,12100,3686,-0.0591,-0.0896,-0.0706,-0.3228,-0.3810,-0.1883
