episode,env_step,train_step,ver_reward(avg100env),fwd_reward(avg100env),lat_reward(avg100env),ver_reward(episode),fwd_reward(episode),lat_reward(episode)
1,100,0,-0.5311,-0.2376,-0.1095,-0.5311,-0.2376,-0.1095
1,200,18,-0.0947,-0.9057,-0.1224,-0.3118,-0.5733,-0.1160
1,300,43,-0.0818,-0.6173,-0.6255,-0.2349,-0.5881,-0.2864
1,400,85,-0.2662,-0.3422,-0.9581,-0.2428,-0.5264,-0.4547
1,500,111,-0.3272,-0.0956,-0.9078,-0.2597,-0.4401,-0.5455
1,600,138,-0.6248,-0.1115,-0.8489,-0.3206,-0.3853,-0.5962
1,700,162,-0.3676,-0.0844,-0.3414,-0.3273,-0.3422,-0.5597
1,800,223,-0.5194,-0.4340,-0.1822,-0.3514,-0.3537,-0.5125
1,900,248,-0.8027,-0.1742,-0.3298,-0.4016,-0.3337,-0.4922
1,1000,326,-0.8845,-0.0914,-0.2800,-0.4499,-0.3095,-0.4709
1,1100,447,-0.1125,-0.1941,-0.5026,-0.4192,-0.2990,-0.4738
1,1200,520,-0.3990,-0.3804,-0.3933,-0.4175,-0.3058,-0.4671
1,1300,544,-0.8045,-0.0836,-0.6934,-0.4473,-0.2887,-0.4845
1,1400,570,-1.0615,-0.0603,-0.1640,-0.4912,-0.2723,-0.4616
1,1500,595,-1.3003,-0.0554,-0.1073,-0.5452,-0.2579,-0.4380
1,1600,669,-0.4120,-0.1208,-0.1931,-0.5369,-0.2493,-0.4227
1,1700,694,-0.0265,-0.8121,-0.3776,-0.5068,-0.2824,-0.4200
1,1800,719,-0.0934,-1.6839,-0.0814,-0.4838,-0.3603,-0.4012
1,1900,748,-0.4344,-2.2991,-0.1396,-0.4812,-0.4624,-0.3874
1,2000,825,-0.5932,-0.8807,-0.1742,-0.4868,-0.4833,-0.3767
1,2100,850,-0.6442,-1.2957,-0.1695,-0.4943,-0.5220,-0.3669
1,2200,878,-0.4645,-1.9996,-0.2415,-0.4930,-0.5892,-0.3612
1,2300,907,-0.6130,-2.1424,-0.1838,-0.4982,-0.6568,-0.3535
1,2400,986,-1.0209,-0.4019,-0.1835,-0.5200,-0.6462,-0.3464
1,2500,1011,-1.8597,-0.8197,-0.0476,-0.5736,-0.6531,-0.3344
1,2600,1036,-2.8327,-1.4980,-0.0879,-0.6605,-0.6856,-0.3249
1,2700,1066,-3.4822,-2.0798,-0.1308,-0.7651,-0.7373,-0.3177
1,2800,1140,-0.1662,-0.1867,-0.1475,-0.7437,-0.7176,-0.3117
1,2900,1165,-0.5909,-1.1178,-0.1100,-0.7384,-0.7314,-0.3047
1,3000,1192,-0.6242,-2.0865,-0.0858,-0.7346,-0.7766,-0.2974
1,3100,1267,-0.3034,-0.4288,-0.0635,-0.7207,-0.7654,-0.2899
1,3200,1293,-0.2185,-1.7419,-0.0914,-0.7050,-0.7959,-0.2837
1,3300,1324,-0.3738,-2.1547,-0.2329,-0.6949,-0.8371,-0.2821
1,3400,1350,-0.1394,-1.5511,-0.0485,-0.6786,-0.8581,-0.2752
1,3500,1379,-0.5369,-2.2605,-0.0573,-0.6746,-0.8982,-0.2690
1,3600,1447,-0.1467,-1.1542,-0.0394,-0.6599,-0.9053,-0.2626
1,3700,1519,-0.2364,-1.6882,-0.0465,-0.6484,-0.9265,-0.2568
1,3800,1544,-0.0653,-1.0689,-0.0307,-0.6331,-0.9302,-0.2508
1,3900,1570,-0.1649,-2.0892,-0.0415,-0.6211,-0.9599,-0.2455
1,4000,1642,-0.0837,-1.2410,-0.0525,-0.6076,-0.9670,-0.2406
1,4100,1710,-0.2077,-1.9090,-0.1594,-0.5979,-0.9899,-0.2387
1,4200,1738,-0.2932,-1.7322,-0.0582,-0.5906,-1.0076,-0.2344
1,4300,1768,-0.5939,-2.4550,-0.0306,-0.5907,-1.0413,-0.2296
1,4400,1800,-0.2879,-1.9842,-0.0827,-0.5838,-1.0627,-0.2263
1,4500,1873,-0.1646,-1.7727,-0.0543,-0.5745,-1.0785,-0.2225
1,4600,1898,-0.1294,-1.7146,-0.0117,-0.5648,-1.0923,-0.2179
1,4700,1972,-0.1773,-2.2364,-0.1032,-0.5566,-1.1167,-0.2154
1,4800,1997,-0.1788,-1.5948,-0.0725,-0.5487,-1.1266,-0.2125
1,4900,2069,-0.3544,-1.6206,-0.0516,-0.5447,-1.1367,-0.2092
1,5000,2096,-0.1262,-2.2069,-0.0270,-0.5364,-1.1581,-0.2055
1,5100,2166,-0.1667,-1.5428,-0.0236,-0.5291,-1.1657,-0.2020
1,5200,2194,-0.3883,-2.2695,-0.0321,-0.5264,-1.1869,-0.1987
1,5300,2265,-0.4264,-2.5461,-0.0448,-0.5245,-1.2126,-0.1958
1,5400,2293,-0.1774,-1.8939,-0.0430,-0.5181,-1.2252,-0.1930
1,5500,2322,-0.1769,-2.5375,-0.0980,-0.5119,-1.2490,-0.1912
1,5600,2353,-0.4662,-2.5014,-0.1024,-0.5111,-1.2714,-0.1896
1,5700,2382,-0.4567,-2.4327,-0.0853,-0.5101,-1.2918,-0.1878
1,5800,2454,-0.2162,-2.2028,-0.0924,-0.5050,-1.3075,-0.1862
1,5900,2485,-0.2689,-1.9879,-0.0683,-0.5010,-1.3190,-0.1842
1,6000,2512,-0.1526,-2.2646,-0.0822,-0.4952,-1.3348,-0.1825
1,6100,2585,-0.1909,-1.8812,-0.0671,-0.4902,-1.3438,-0.1806
1,6200,2618,-0.4653,-2.9405,-0.0883,-0.4898,-1.3695,-0.1791
1,6300,2690,-0.1785,-1.5042,-0.0628,-0.4849,-1.3717,-0.1772
1,6400,2716,-0.1779,-2.5896,-0.0133,-0.4801,-1.3907,-0.1747
1,6500,2791,-0.4363,-2.1985,-0.0306,-0.4794,-1.4031,-0.1725
1,6600,2819,-0.2397,-2.1463,-0.0369,-0.4758,-1.4144,-0.1704
1,6700,2847,-0.1013,-2.1637,-0.0296,-0.4702,-1.4256,-0.1683
1,6800,2919,-0.2300,-1.4699,-0.0415,-0.4667,-1.4262,-0.1664
1,6900,2947,-0.2951,-2.3737,-0.0345,-0.4642,-1.4399,-0.1645
1,7000,3022,-0.3938,-2.7396,-0.1058,-0.4632,-1.4585,-0.1637
1,7100,3047,-0.0428,-1.5377,-0.0572,-0.4573,-1.4596,-0.1622
1,7200,3118,-0.1475,-2.5579,-0.0193,-0.4530,-1.4749,-0.1602
1,7300,3143,-0.0369,-0.8306,-0.0174,-0.4473,-1.4661,-0.1583
1,7400,3175,-0.4669,-2.3619,-0.0357,-0.4475,-1.4782,-0.1566
1,7500,3211,-0.7112,-2.6123,-0.0580,-0.4510,-1.4933,-0.1553
1,7600,3237,-0.1683,-1.8405,-0.0367,-0.4473,-1.4979,-0.1537
1,7700,3265,-0.3791,-2.3913,-0.0387,-0.4464,-1.5095,-0.1522
1,7800,3292,-0.3394,-2.5154,-0.0179,-0.4451,-1.5224,-0.1505
1,7900,3381,-0.1375,-1.1019,-0.1327,-0.4412,-1.5170,-0.1503
1,8000,3457,-0.1561,-0.5190,-0.1569,-0.4376,-1.5046,-0.1504
1,8100,3534,-0.0495,-1.0537,-0.0598,-0.4328,-1.4990,-0.1492
1,8200,3745,-0.2676,-1.3247,-0.2602,-0.4308,-1.4969,-0.1506
1,8300,3819,-0.1215,-1.1213,-0.2174,-0.4271,-1.4923,-0.1514
