episode,env_step,train_step,ver_reward(avg100env),fwd_reward(avg100env),lat_reward(avg100env),ver_reward(episode),fwd_reward(episode),lat_reward(episode)
1,100,0,-0.5268,-0.1251,-0.2013,-0.5268,-0.1251,-0.2013
1,200,23,-0.5306,-0.3591,-0.3376,-0.5287,-0.2427,-0.2698
1,300,52,-0.6309,-0.1543,-0.3072,-0.5629,-0.2131,-0.2823
1,400,77,-0.0772,-0.0779,-0.6107,-0.4412,-0.1792,-0.3646
1,500,102,-0.1254,-0.3105,-0.7372,-0.3779,-0.2055,-0.4393
1,600,144,-0.6971,-0.7488,-0.3593,-0.4312,-0.2962,-0.4259
1,700,210,-0.4896,-0.0702,-0.2624,-0.4396,-0.2639,-0.4025
1,800,239,-0.3511,-0.1438,-0.8897,-0.4285,-0.2489,-0.4635
1,900,273,-0.2170,-0.3346,-0.9576,-0.4050,-0.2584,-0.5185
1,1000,309,-0.1616,-0.1053,-0.9439,-0.3806,-0.2431,-0.5610
1,1100,344,-0.0975,-0.1805,-0.9219,-0.3548,-0.2374,-0.5939
1,1200,383,-0.2656,-0.1098,-0.9216,-0.3474,-0.2267,-0.6212
1,1300,424,-0.2407,-0.0799,-0.9236,-0.3392,-0.2154,-0.6445
1,1400,464,-0.2423,-0.0544,-0.9314,-0.3323,-0.2039,-0.6650
1,1500,495,-0.5381,-0.6207,-0.8577,-0.3460,-0.2317,-0.6779
1,1600,526,-0.2227,-0.7648,-0.8511,-0.3383,-0.2651,-0.6887
1,1700,553,-0.7710,-0.8505,-0.2814,-0.3638,-0.2995,-0.6647
1,1800,588,-1.0785,-0.6577,-0.3888,-0.4035,-0.3194,-0.6494
1,1900,619,-1.3952,-0.0342,-0.2480,-0.4557,-0.3044,-0.6282
1,2000,648,-1.0132,-0.1574,-0.0731,-0.4836,-0.2971,-0.6005
1,2100,681,-0.5339,-0.9974,-0.1349,-0.4860,-0.3304,-0.5783
1,2200,717,-0.3146,-1.0972,-0.5977,-0.4782,-0.3653,-0.5792
1,2300,745,-0.4168,-0.1278,-0.6220,-0.4755,-0.3550,-0.5810
1,2400,774,-0.7983,-0.3275,-0.4061,-0.4890,-0.3538,-0.5738
1,2500,805,-0.5835,-0.3453,-0.4699,-0.4928,-0.3535,-0.5696
1,2600,871,-0.9023,-0.1353,-0.2031,-0.5085,-0.3451,-0.5555
1,2700,944,-0.3025,-0.3930,-0.2793,-0.5009,-0.3469,-0.5453
1,2800,1055,-0.9246,-0.2861,-0.4425,-0.5160,-0.3447,-0.5416
1,2900,1117,-1.2006,-0.5585,-0.2917,-0.5396,-0.3521,-0.5330
1,3000,1181,-1.4225,-1.2188,-0.1731,-0.5691,-0.3810,-0.5210
1,3100,1250,-1.0264,-1.2904,-0.1142,-0.5838,-0.4103,-0.5078
1,3200,1357,-1.0859,-1.3836,-0.3058,-0.5995,-0.4407,-0.5015
1,3300,1461,-0.7938,-1.7015,-0.3324,-0.6054,-0.4789,-0.4964
1,3400,1564,-0.3654,-1.5399,-0.4175,-0.5984,-0.5102,-0.4941
1,3500,1670,-1.2513,-2.0697,-0.2662,-0.6170,-0.5547,-0.4876
1,3600,1810,-0.3772,-1.8884,-0.4906,-0.6104,-0.5918,-0.4877
1,3700,1835,-0.8503,-1.5881,-0.3366,-0.6168,-0.6187,-0.4836
1,3800,1902,-1.0038,-1.5794,-0.1036,-0.6270,-0.6440,-0.4736
1,3900,1928,-0.9052,-1.6737,-0.0444,-0.6342,-0.6704,-0.4626
1,4000,1953,-0.8217,-1.6536,-0.1245,-0.6389,-0.6950,-0.4541
1,4100,2018,-0.5437,-0.8457,-0.5062,-0.6365,-0.6987,-0.4554
1,4200,2043,-0.7687,-1.8577,-0.3206,-0.6397,-0.7263,-0.4522
1,4300,2068,-0.6652,-1.8028,-0.5825,-0.6403,-0.7513,-0.4552
1,4400,2137,-0.8725,-1.5763,-0.5360,-0.6455,-0.7701,-0.4570
1,4500,2161,-0.2522,-1.2518,-0.1055,-0.6368,-0.7808,-0.4492
1,4600,2187,-0.8806,-0.6651,-0.0888,-0.6421,-0.7783,-0.4414
1,4700,2212,-0.1828,-0.3165,-0.0236,-0.6323,-0.7684,-0.4325
